TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
-1,266.5,1,16
-1,269.9375,1,24
-1,273.4375,1,32
-1,276.625,123,24
-1,280.0625,1,32
-1,283.25,1,48
-1,286.75,62,80
-1,289.9375,67,80
-1,293.5,65,80
-1,296.6875,66,80
-1,300.1875,66,88
-1,303.4375,70,80
-1,306.625,71,80
-1,310.125,69,80
-1,313.375,78,80
-1,316.5625,72,80
-1,319.75,77,80
-1,322.9375,81,80
-1,326.5,456,32
-1,329.6875,1,56
-1,333.1875,50,48
-1,336.375,45,64
-1,339.875,25,72
-1,343.0625,50,56
-1,346.25,48,56
-1,349.375,58,80
-1,352.9375,61,80
-1,356.125,62,80
-1,359.625,65,72
1515534629547,3.1875,534,32
-1,6.6875,492,56
-1,9.875,1,32
-1,13.4375,1,24
-1,16.625,1,24
-1,19.8125,1,24
-1,23.0625,89,72
-1,26.5625,99,88
-1,29.75,106,80
-1,33.3125,106,88
-1,36.875,134,24
-1,40.0625,32,56
-1,43.625,24,72
-1,47.1875,38,72
-1,50.375,35,72
-1,53.9375,25,72
-1,57.125,37,72
-1,60.6875,35,72
-1,64.5625,38,72
-1,68.0625,42,88
-1,71.1875,43,88
-1,74.6875,48,80
-1,77.875,48,64
-1,81.3125,39,56
-1,84.5,37,56
-1,88,42,64
-1,91.5,54,56
-1,94.75,58,80
-1,97.9375,62,72
-1,101.5,66,80
-1,104.6875,64,80
-1,108.1875,57,72
-1,111.75,1,56
-1,114.875,55,56
-1,118,48,72
-1,121.1875,49,56
-1,124.3125,58,64
-1,127.8125,47,64
-1,130.9375,1,56
-1,134.8125,43,56
-1,138,40,64
-1,141.25,33,56
-1,144.4375,28,48
-1,147.625,35,56
-1,151.1875,316,56
-1,154,299,80
-1,157.625,9256,24
-1,160.875,1,16
-1,164.4375,1,24
-1,167.6875,1,24
-1,170.9375,1,32
-1,174.5625,1,24
-1,177.8125,1,32
-1,181.25,1,48
-1,184.4375,1,48
-1,187.5625,49,40
-1,191.0625,39,40
-1,194.1875,44,56
-1,197.6875,200,64
-1,200.875,200,80
-1,204.375,200,80
-1,207.5625,200,80
-1,211.125,218,80
-1,214.3125,226,64
-1,217.875,239,80
-1,221.4375,219,64
-1,224.625,204,40
-1,227.8125,1,24
-1,231,210,88
-1,234.5625,217,88
-1,238.125,222,88
-1,241.3125,230,88
-1,244.5,237,80
-1,248.0625,247,88
-1,251.25,265,80
-1,254.4375,272,80
-1,258,288,40
-1,261.1875,1,16
-1,264.75,1,24
-1,268.1875,1,24
-1,271.6875,1,32
-1,274.875,1,24
-1,278,8068,24
-1,281.5,1,40
-1,284.625,76,56
-1,288.125,68,72
-1,291.6875,63,80
-1,294.875,62,88
-1,298.0625,63,80
-1,301.3125,63,80
-1,304.8125,65,80
-1,308,72,80
-1,311.5625,72,80
-1,314.75,70,80
-1,318.3125,76,80
-1,321.5,80,80
-1,325.0625,518,40
-1,328.625,1,24
-1,332.125,39,48
-1,335.3125,54,56
-1,338.5,32,64
-1,342,35,64
-1,345.1875,27,64
-1,348.6875,55,64
-1,351.875,60,88
-1,355.375,63,80
-1,358.5625,65,48
1515534629649,2.4375,447,48
-1,5.625,1,24
-1,8.8125,536,40
-1,12.0625,1,24
-1,15.5625,1,32
-1,18.75,1,32
-1,22.3125,112,56
-1,25.875,101,88
-1,29.4375,96,80
-1,32.625,105,88
-1,35.8125,106,48
-1,39,43,48
-1,42.5625,34,64
-1,45.75,37,72
-1,49.3125,40,64
-1,53.1875,35,72
-1,56.375,34,80
-1,59.5625,33,72
-1,63.125,39,72
-1,66.3125,38,80
-1,69.8125,42,88
-1,73.3125,49,80
-1,76.4375,47,80
-1,79.625,37,56
-1,83.0625,34,72
-1,86.25,1,32
-1,89.75,55,48
-1,92.9375,63,72
-1,96.125,59,72
-1,99.6875,63,80
-1,102.875,64,80
-1,106.4375,57,72
-1,109.625,60,40
-1,113.125,71,48
-1,116.25,52,56
-1,119.4375,54,64
-1,122.9375,54,48
-1,126.0625,45,80
-1,129.5625,37,48
-1,133.4375,55,64
-1,136.625,35,64
-1,140.125,57,48
-1,143.375,22,48
-1,146.875,51,48
-1,150.0625,309,72
-1,153.625,303,72
-1,156.875,320,72
-1,160.125,2615,24
-1,163.75,1,16
-1,167,1,40
-1,170.5625,1,24
-1,173.8125,1,32
-1,177.4375,1,40
-1,180.5625,1,64
-1,183.75,1,48
-1,187.1875,51,40
-1,190.375,33,48
-1,193.8125,5,48
-1,197,186,64
-1,200.5,201,88
-1,203.6875,197,72
-1,207.25,199,88
-1,210.4375,207,80
-1,213.625,217,72
-1,217.1875,230,72
-1,220.375,223,72
-1,223.5625,218,64
-1,227.125,1,56
-1,230.3125,214,88
-1,233.875,216,88
-1,237.0625,222,88
-1,240.625,232,88
-1,244.125,233,80
-1,247.3125,249,80
-1,250.5625,259,88
-1,254.0625,276,80
-1,257.25,296,72
-1,260.8125,1,32
-1,264,1,40
-1,267.5,1,32
-1,270.6875,1,24
-1,273.8125,1,24
-1,277.3125,1,24
-1,280.4375,9794,16
-1,283.9375,1,16
-1,287.4375,61,88
-1,290.625,61,80
-1,293.8125,65,80
-1,297,61,80
-1,300.1875,60,80
-1,303.4375,67,88
-1,306.625,66,80
-1,310.125,64,80
-1,313.375,73,80
-1,316.5625,71,80
-1,320.0625,76,80
-1,323.625,76,72
-1,326.8125,1,24
-1,330,22,64
-1,333.5625,45,56
-1,336.75,35,72
-1,340.25,39,64
-1,343.4375,40,72
-1,346.5625,23,48
-1,349.75,58,88
-1,353.25,61,80
-1,356.4375,63,80
-1,359.625,60,56
1515534629752,3.5,540,56
-1,6.6875,1,56
-1,10.25,1,32
-1,13.4375,1,32
-1,17,1,32
-1,20.1875,1,24
-1,23.75,101,72
-1,26.9375,99,88
-1,30.125,107,80
-1,33.6875,105,88
-1,36.875,1,24
-1,40.4375,51,64
-1,44.3125,37,72
-1,47.875,34,56
-1,51.0625,30,72
-1,54.625,30,72
-1,58.1875,35,72
-1,61.375,47,72
-1,64.5625,32,64
-1,68.0625,44,88
-1,71.1875,42,80
-1,74.6875,45,80
-1,77.875,43,64
-1,81.3125,42,72
-1,84.5,39,56
-1,88,58,72
-1,91.5,1,40
-1,94.75,60,72
-1,98.25,55,64
-1,101.5,65,80
-1,105,61,80
-1,108.1875,52,72
-1,111.75,1,32
-1,114.875,54,64
-1,118,49,72
-1,121.5,53,56
-1,124.6875,47,64
-1,128.125,47,64
-1,131.3125,1,40
-1,135.1875,45,40
-1,138.375,43,64
-1,141.5625,35,56
-1,145.125,57,48
-1,148.3125,49,48
-1,151.875,317,64
-1,154.6875,301,72
-1,157.9375,1,32
-1,161.5625,19,24
-1,164.8125,1,24
-1,168.0625,1,24
-1,171.3125,1,40
-1,174.9375,1,24
-1,178.125,1,40
-1,181.625,20,64
-1,184.75,64,56
-1,188.25,37,40
-1,191.375,59,48
-1,194.875,44,56
-1,198,201,80
-1,201.5625,199,80
-1,204.75,203,80
-1,208.3125,196,88
-1,211.5,213,80
-1,215.0625,216,72
-1,218.25,226,80
-1,221.8125,239,56
-1,225,221,48
-1,228.1875,1,32
-1,231.375,214,88
-1,234.5625,221,88
-1,237.75,222,88
-1,240.9375,230,88
-1,244.5,241,88
-1,247.6875,250,88
-1,251.25,261,88
-1,254.4375,279,88
-1,258,284,48
-1,261.1875,1,32
-1,264.75,1,32
-1,268.1875,1,24
-1,271.375,1,40
-1,274.5,1,32
-1,278,1,24
-1,281.125,8142,24
-1,284.625,1,24
-1,288.125,66,88
-1,291.375,64,72
-1,294.875,67,80
-1,298.0625,62,80
-1,301.625,65,80
-1,304.8125,70,80
-1,308.375,68,80
-1,311.9375,69,80
-1,315.125,78,80
-1,318.6875,77,88
-1,321.875,80,80
-1,325.4375,1,48
-1,328.625,1,32
-1,332.125,33,40
-1,335.6875,44,64
-1,338.8125,39,64
-1,342,34,64
-1,345.5,42,56
-1,349.0625,51,64
-1,352.25,67,80
-1,355.375,62,88
-1,358.5625,67,72
1515534629853,2.125,483,40
-1,5.625,484,40
-1,8.8125,527,56
-1,12.0625,1,32
-1,15.5625,1,32
-1,18.75,1,24
-1,22.3125,96,56
-1,25.5,99,88
-1,28.6875,97,80
-1,32.625,104,72
-1,35.8125,104,72
-1,39,50,56
-1,42.5625,48,72
-1,45.75,37,72
-1,49.3125,27,64
-1,52.5,39,72
-1,56.0625,38,80
-1,59.25,37,80
-1,62.8125,52,72
-1,66,27,72
-1,69.5,45,88
-1,72.625,38,80
-1,75.75,35,80
-1,78.875,39,72
-1,82.375,40,64
